team,win_pct,final_pct,semi_pct,quarter_pct,r16_pct
Spain,8.43,14.55,24.55,40.12,65.91
Brazil,7.81,15.25,26.39,46.04,68.44
France,6.63,11.73,20.2,35.71,61.26
Portugal,6.43,11.15,20.03,34.41,60.19
Argentina,6.32,11.48,21.03,35.96,60.44
England,6.2,11.3,20.94,36.09,63.26
Morocco,6.18,12.46,22.52,39.95,60.98
Netherlands,5.63,10.58,19.17,33.93,54.66
Belgium,5.59,10.31,18.95,34.42,55.58
Germany,4.91,9.2,17.54,32.2,59.07
Japan,3.9,7.7,14.28,27.18,47.11
Senegal,3.68,7.16,13.78,26.14,48.82
Croatia,2.71,6.34,13.1,25.08,49.83
United States,2.65,5.34,10.97,23.18,46.34
Colombia,2.55,5.68,11.59,22.55,46.38
Uruguay,2.11,4.81,10.51,22.13,44.06
Mexico,2.07,4.72,10.53,22.28,50.08
Iran,1.87,4.38,9.47,20.68,38.3
Switzerland,1.84,4.3,9.27,20.52,46.86
South Korea,1.53,3.24,7.67,17.39,41.84
Algeria,1.38,2.95,6.92,15.62,32.26
Australia,1.08,2.67,6.29,14.65,34.12
Egypt,0.99,2.46,6.04,14.32,30.2
Canada,0.89,2.57,6.15,15.42,39.94
Austria,0.81,2.23,5.15,12.72,28.27
Ivory Coast,0.8,2.05,5.05,13.1,31.29
Norway,0.77,1.86,4.69,11.25,26.73
Ecuador,0.75,1.96,4.76,11.99,29.88
Turkey,0.63,1.77,4.69,10.88,26.18
Tunisia,0.39,1.02,2.59,7.08,17.29
DR Congo,0.26,0.56,1.42,4.29,12.8
Uzbekistan,0.25,0.64,1.85,4.84,14.13
Qatar,0.24,0.62,2.09,6.19,19.29
Scotland,0.23,0.66,2.02,6.19,16.15
Sweden,0.23,0.6,1.97,5.28,13.93
Panama,0.23,0.69,2.39,6.09,16.68
Czech Republic,0.21,0.69,2.22,6.46,20.11
Paraguay,0.18,0.45,1.27,3.97,12.59
Saudi Arabia,0.16,0.44,1.33,4.0,11.85
South Africa,0.16,0.39,1.65,5.0,15.95
Iraq,0.12,0.4,0.9,2.76,8.13
Jordan,0.08,0.29,0.89,2.69,8.06
Ghana,0.05,0.09,0.44,1.46,5.92
Bosnia and Herzegovina,0.04,0.11,0.52,2.21,9.64
New Zealand,0.02,0.05,0.18,0.79,3.03
Cape Verde,0.01,0.04,0.27,1.11,4.71
Curaçao,0.0,0.03,0.1,0.7,3.59
Haiti,0.0,0.03,0.13,0.66,2.9
